window_center_index,window_center_epoch,window_type,relative_pos,row_index,epoch,truth,base,pred_bear_core_a,trigger_bear_core_a,override_help_class_bear_core_a,ruleb_raw_warning,osc_core_a,osc_core_b,osc_core_c,slow_retention,abs_hinge,transition_score_v23,phase3,fs3,fast_alt,core_count,reason
411,321189,FALSE_NEGATIVE,2,413,321191,Bear,Bear,Bear,0,NO_EFFECT,0,0,0,0,2.6879134246373724,0.0097824887632454,0,0,1,0,0,false_negative|base=Bear|truth=Bear|slow=2.6879|abs_hinge=0.0098|transition=0|phase3=0|fs3=1|fast_alt=0|core_count=0
514,321304,FALSE_NEGATIVE,-2,512,321302,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.8480056458265608,0.3346402939651963,0,0,1,0,0,false_negative|base=Neutral|truth=Bear|slow=0.8480|abs_hinge=0.3346|transition=0|phase3=0|fs3=1|fast_alt=0|core_count=0
514,321304,FALSE_NEGATIVE,-1,513,321303,Bull,Bull,Bull,0,NO_EFFECT,0,0,0,0,0.3349514959882071,0.3203849751929498,0,0,1,0,0,false_negative|base=Bull|truth=Bull|slow=0.3350|abs_hinge=0.3204|transition=0|phase3=0|fs3=1|fast_alt=0|core_count=0
514,321304,FALSE_NEGATIVE,0,514,321304,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.4339076306314382,0.2391922753233023,1,0,1,1,1,false_negative|base=Bear|truth=Bull|slow=1.4339|abs_hinge=0.2392|transition=1|phase3=0|fs3=1|fast_alt=1|core_count=1
514,321304,FALSE_NEGATIVE,1,515,321305,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.5269501706097799,1.0,2,1,1,0,0,false_negative|base=Neutral|truth=Bear|slow=0.5270|abs_hinge=1.0000|transition=2|phase3=1|fs3=1|fast_alt=0|core_count=0
514,321304,FALSE_NEGATIVE,2,516,321306,Bull,Bear,Bear,0,NO_EFFECT,0,0,0,0,0.4125776010369009,0.2737402855598712,1,1,1,0,0,false_negative|base=Bear|truth=Bull|slow=0.4126|abs_hinge=0.2737|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0
546,321341,FALSE_NEGATIVE,-2,544,321339,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.150170654133035,1.0,2,1,0,0,0,false_negative|base=Neutral|truth=Bear|slow=0.1502|abs_hinge=1.0000|transition=2|phase3=1|fs3=0|fast_alt=0|core_count=0
546,321341,FALSE_NEGATIVE,-1,545,321340,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.1186585198229295,0.1178095180770539,1,2,1,0,1,false_negative|base=Neutral|truth=Bull|slow=0.1187|abs_hinge=0.1178|transition=1|phase3=2|fs3=1|fast_alt=0|core_count=1
546,321341,FALSE_NEGATIVE,0,546,321341,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.97990277538338,0.2125949170883987,1,2,1,0,1,false_negative|base=Bear|truth=Bull|slow=1.9799|abs_hinge=0.2126|transition=1|phase3=2|fs3=1|fast_alt=0|core_count=1
546,321341,FALSE_NEGATIVE,1,547,321341,Bull,Neutral,Neutral,0,NO_EFFECT,1,1,1,0,1.6472531718991377,0.9408004454258224,2,2,2,0,2,false_negative|base=Neutral|truth=Bull|slow=1.6473|abs_hinge=0.9408|transition=2|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB
546,321341,FALSE_NEGATIVE,2,548,321343,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.260026034888142,0.232689390229609,0,1,1,0,0,false_negative|base=Neutral|truth=Bull|slow=0.2600|abs_hinge=0.2327|transition=0|phase3=1|fs3=1|fast_alt=0|core_count=0
572,321371,FALSE_NEGATIVE,-2,570,321369,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.194734032937049,0.3009674892553203,0,1,1,1,1,false_negative|base=Neutral|truth=Bull|slow=0.1947|abs_hinge=0.3010|transition=0|phase3=1|fs3=1|fast_alt=1|core_count=1
572,321371,FALSE_NEGATIVE,-1,571,321370,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.1588814655769965,0.2748065804725368,1,1,1,1,1,false_negative|base=Neutral|truth=Bear|slow=0.1589|abs_hinge=0.2748|transition=1|phase3=1|fs3=1|fast_alt=1|core_count=1
572,321371,FALSE_NEGATIVE,0,572,321371,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.2457472309597506,0.2597700865159475,1,1,1,1,1,false_negative|base=Bear|truth=Bull|slow=1.2457|abs_hinge=0.2598|transition=1|phase3=1|fs3=1|fast_alt=1|core_count=1
572,321371,FALSE_NEGATIVE,1,573,321372,Bear,Bear,Bear,0,NO_EFFECT,0,0,0,0,0.4151955275901855,0.1377372587727716,1,1,1,0,0,false_negative|base=Bear|truth=Bear|slow=0.4152|abs_hinge=0.1377|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0
572,321371,FALSE_NEGATIVE,2,574,321373,Bear,Bull,Bull,0,NO_EFFECT,0,0,0,0,0.8765020699047454,0.1711766004546916,0,0,0,0,0,false_negative|base=Bull|truth=Bear|slow=0.8765|abs_hinge=0.1712|transition=0|phase3=0|fs3=0|fast_alt=0|core_count=0
685,321499,FALSE_NEGATIVE,-2,683,321497,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.2511546077039384,0.335862797269904,0,1,1,1,1,false_negative|base=Neutral|truth=Bull|slow=0.2512|abs_hinge=0.3359|transition=0|phase3=1|fs3=1|fast_alt=1|core_count=1
685,321499,FALSE_NEGATIVE,-1,684,321498,Bear,Neutral,Neutral,0,NO_EFFECT,0,1,1,0,0.0802965301027143,1.0,2,2,2,0,2,false_negative|base=Neutral|truth=Bear|slow=0.0803|abs_hinge=1.0000|transition=2|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB
685,321499,FALSE_NEGATIVE,0,685,321499,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.7431309231815248,0.2227466203609453,1,1,1,0,0,false_negative|base=Bear|truth=Bull|slow=1.7431|abs_hinge=0.2227|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0
685,321499,FALSE_NEGATIVE,1,686,321500,Bear,Neutral,Neutral,0,NO_EFFECT,1,1,1,0,0.965765947017644,0.3379784428111721,1,2,2,0,2,false_negative|base=Neutral|truth=Bear|slow=0.9658|abs_hinge=0.3380|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB
685,321499,FALSE_NEGATIVE,2,687,321501,Bear,Bear,Bear,0,NO_EFFECT,0,0,0,0,2.0674998646118183,0.1224329233240827,0,1,1,0,0,false_negative|base=Bear|truth=Bear|slow=2.0675|abs_hinge=0.1224|transition=0|phase3=1|fs3=1|fast_alt=0|core_count=0
788,321610,FALSE_NEGATIVE,-2,786,321608,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.3504423776103067,0.1022363292418289,1,1,2,0,1,false_negative|base=Neutral|truth=Bull|slow=0.3504|abs_hinge=0.1022|transition=1|phase3=1|fs3=2|fast_alt=0|core_count=1
788,321610,FALSE_NEGATIVE,-1,787,321609,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.4199329694838525,0.2239156253844497,1,0,1,0,0,false_negative|base=Neutral|truth=Bear|slow=0.4199|abs_hinge=0.2239|transition=1|phase3=0|fs3=1|fast_alt=0|core_count=0
788,321610,FALSE_NEGATIVE,0,788,321610,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.2980760016143904,0.3325768538410291,1,0,1,0,0,false_negative|base=Bear|truth=Bull|slow=1.2981|abs_hinge=0.3326|transition=1|phase3=0|fs3=1|fast_alt=0|core_count=0
788,321610,FALSE_NEGATIVE,1,789,321611,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.5684930988336419,1.0,2,1,1,0,0,false_negative|base=Neutral|truth=Bear|slow=0.5685|abs_hinge=1.0000|transition=2|phase3=1|fs3=1|fast_alt=0|core_count=0
788,321610,FALSE_NEGATIVE,2,790,321611,Bear,Neutral,Neutral,0,NO_EFFECT,0,1,1,0,0.5684930988336419,1.0,2,2,2,0,2,false_negative|base=Neutral|truth=Bear|slow=0.5685|abs_hinge=1.0000|transition=2|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB
