cluster_id,start_row,end_row,length,start_epoch,end_epoch,trigger_types,truth_sequence,base_sequence,combo_sequence,good_combo_count,bad_combo_count
38,558,575,18,321352,321374,ruleb_raw|osc|combo|osc_tag,Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bear -> Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bull -> Bear -> Bear -> Bull,Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bear -> Bear -> Bull -> Bull,Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Bear -> Bull -> Bull,1,0
39,577,608,32,321376,321412,osc_tag,Bull -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear -> Bull -> Bull -> Bear -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bear -> Bull -> Bull -> Bear -> Bull -> Bull -> Bear -> Bull,Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral,Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral,0,0
40,612,616,5,321416,321420,osc_tag,Bull -> Bear -> Bear -> Bear -> Bull,Neutral -> Bear -> Bear -> Bull -> Bull,Neutral -> Bear -> Bear -> Bull -> Bull,0,0
41,618,618,1,321422,321422,osc_tag,Bull,Bull,Bull,0,0
42,621,621,1,321425,321425,osc_tag,Bear,Neutral,Neutral,0,0
43,623,626,4,321427,321430,osc_tag,Bull -> Bear -> Bear -> Bull,Neutral -> Neutral -> Neutral -> Bull,Neutral -> Neutral -> Neutral -> Bull,0,0
44,630,646,17,321432,321459,osc_tag,Bull -> Bull -> Bull -> Bull -> Bull -> Bear -> Bull -> Bear -> Bull -> Unknown -> Bull -> Bull -> Bull -> Bull -> Bear -> Bear -> Bull,Bull -> Bull -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Bull -> Bull,Bull -> Bull -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Bull -> Bull,0,0
45,649,688,40,321463,321502,ruleb_raw|persist|osc|combo|osc_tag,Bull -> Bull -> Bear -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bull -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bull -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bull,Bull -> Neutral -> Bear -> Bear -> Bull -> Bear -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Neutral,Bull -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral,1,3
46,690,690,1,321504,321504,osc_tag,Bear,Neutral,Neutral,0,0
47,694,714,21,321508,321528,osc_tag,Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bull -> Bear -> Bear -> Bear -> Bull,Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bull,Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bull,0,0
48,717,722,6,321531,321534,osc_tag,Bear -> Bear -> Bear -> Bear -> Bear -> Bear,Neutral -> Bear -> Neutral -> Neutral -> Bull -> Neutral,Neutral -> Bear -> Neutral -> Neutral -> Bull -> Neutral,0,0
49,727,746,20,321540,321567,osc_tag,Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull,Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bull -> Neutral,Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bull -> Neutral,0,0
50,749,761,13,321570,321582,osc_tag,Bear -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bull -> Bear -> Bear -> Bull -> Bull,Bear -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bear -> Bull -> Bear,Bear -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bear -> Bull -> Bear,0,0
51,763,763,1,321584,321584,osc_tag,Bull,Bull,Bull,0,0
52,766,766,1,321587,321587,osc_tag,Bear,Neutral,Neutral,0,0
53,768,773,6,321589,321594,osc_tag,Bear -> Bull -> Bull -> Bear -> Bear -> Bear,Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull,Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull,0,0
54,777,823,47,321598,321619,ruleb_raw|persist|osc|combo|osc_tag,Bull -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bear,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral,1,1
55,825,863,39,321621,321659,osc_tag,Bull -> Bear -> Bear -> Bull -> Bear -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bull,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull,0,0
