epoch,truth,pred_v22_base,pred_bear_raw,pred_bear_core_a,pred_bear_core_b,pred_bear_core_c,pred_bear_core_a_lite,trigger_bear_raw,trigger_bear_core_a,trigger_bear_core_b,trigger_bear_core_c,trigger_bear_core_a_lite,override_help_class_bear_raw,override_help_class_bear_core_a,override_help_class_bear_core_b,override_help_class_bear_core_c,override_help_class_bear_core_a_lite,override_side_class_bear_raw,override_side_class_bear_core_a,override_side_class_bear_core_b,override_side_class_bear_core_c,override_side_class_bear_core_a_lite,reason_bear_raw,reason_bear_core_a,reason_bear_core_b,reason_bear_core_c,reason_bear_core_a_lite,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_warn_count_3,phase_disagree_count_3,fs_disagree_count_3,fast_alt_3epoch,osc_core_count,osc_core_a,osc_core_b,osc_core_c,fan_width_velocity,fan_energy_total,energy_delta
320800,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.2438105953806371,0.862768870447019,2,0,0,2,3,0,2,1,1,0,-18.34062871108472,0.5674894515650521,-1.5482646415184718
320801,Bull,Bear,Neutral,Neutral,Neutral,Bear,Neutral,1,1,1,0,1,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,NO_EFFECT,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_SUPPRESS_WRONG_BEAR,GOOD_SUPPRESS_WRONG_BEAR,GOOD_SUPPRESS_WRONG_BEAR,,GOOD_SUPPRESS_WRONG_BEAR,Bear-only RuleB raw|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB,Bear-only RuleB + Core A|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB,Bear-only RuleB + Core B|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB,,Bear-only RuleB + Core A lite (phase&fs)|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB,1.1462925282048673,0.182722298996748,1,1,1,2,2,0,2,1,1,0,72.12525531474967,3.038645795704724,2.471156344139672
320802,Bear,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.3086612595507176,0.3312895733062742,1,0,1,1,1,0,0,0,0,0,-39.69334154140961,1.0475145775253625,-1.9911312181793617
320803,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.2800415394885931,0.3415149868596454,0,0,1,0,1,0,0,0,0,0,-42.03884364046098,0.720017162262593,-0.32749741526276943
320804,Bull,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.1313161941689031,1.0,1,0,0,0,1,0,0,0,0,0,7.052465893226326,0.9180389460543664,0.19802178379177338
320805,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.0338752573261444,0.2344770010512946,1,0,0,1,2,1,2,1,0,1,10.008104426015052,0.6958452317740011,-0.22219371428036527
320806,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.3813461123645538,0.2608559160373437,1,0,0,1,1,0,0,0,0,0,21.89608720880642,0.8840657557957456,0.1882205240217445
320807,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.0787597096932586,0.3923640635274554,1,0,0,2,1,0,1,0,0,0,-34.9912912552536,1.3219596764811286,0.4378939206853829
320808,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.1985546857740701,0.6822358760915986,2,0,0,2,1,0,1,0,0,0,10.039261304642425,0.7740714313476929,-0.5478882451334357
320809,Bear,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.407987468297506,0.4926178836254632,1,0,0,2,1,1,2,1,0,1,37.81784753994725,1.7768395835173578,1.002768152169665
