epoch,truth,pred_v22_base,pred_ruleb_raw,pred_ruleb_persist,pred_ruleb_osc,pred_ruleb_combo,trigger_ruleb_raw,trigger_ruleb_persist,trigger_ruleb_osc,trigger_ruleb_combo,override_help_class_ruleb_raw,override_help_class_ruleb_persist,override_help_class_ruleb_osc,override_help_class_ruleb_combo,reason_ruleb_raw,reason_ruleb_persist,reason_ruleb_osc,reason_ruleb_combo,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_persist_2,ruleb_persist_2of3,ruleb_persist_3of3,ruleb_warn_count_3,fast_alt_3epoch,fs_disagree_count_3,phase_disagree_count_3,polarity_inv_count_3,hinge_flip_count_3,energy_flip_count_3,width_rebound_pattern_3,width_monotonic_collapse_3,oscillation_score_v24,oscillation_warning_v24,fan_width_velocity,fan_energy_total,energy_delta,trigger_reason,trigger_detail
320786,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.7377491418319551,1.0,1,0,0,0,0,1,0,2,1,0,0,1,1,0,3,1,-64.21137789826025,1.209746099435506,-0.5670696388569925,oscillation,"fs_disagree=2,energy_flip=1,width_rebound"
320787,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.3835099709067435,0.6358702660600144,2,0,0,0,0,0,0,2,1,0,0,1,1,0,3,1,29.149409249803284,1.2357861780947133,0.02604007865920721,oscillation,"fs_disagree=2,energy_flip=1,width_rebound"
320788,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.6311482615783461,0.4972887476968185,1,0,0,0,0,0,0,2,2,0,0,1,1,0,4,1,-28.693790912424447,1.5678286232741812,0.3320424451794679,oscillation,"fs_disagree=2,phase_cnt=2,energy_flip=1,width_rebound"
320789,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.6300576188659761,1.0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,3,1,-2.9282302924984838,1.618049982400407,0.05022135912622594,oscillation,"fs_disagree=2,phase_cnt=2,energy_flip=1"
320790,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.0746003603126155,0.2433110678775651,1,0,0,0,0,0,1,2,2,0,0,1,0,0,4,1,32.73338054890337,0.3618813584653253,-1.2561686239350818,oscillation,"fast_alt,fs_disagree=2,phase_cnt=2,energy_flip=1"
320791,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.2087816300208942,0.5270063143061303,2,0,0,0,0,0,1,2,2,0,0,2,1,0,5,1,-8.654911095189163,0.5312582362712419,0.1693768778059166,oscillation,"fast_alt,fs_disagree=2,phase_cnt=2,energy_flip=2,width_rebound"
320792,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.1375403330439439,0.8322233592788162,2,0,0,0,0,0,1,3,3,0,0,2,0,0,4,1,-1.1703438977565384,0.914215834094648,0.3829575978234061,oscillation,"fast_alt,fs_disagree=3,phase_cnt=3,energy_flip=2"
320793,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.6440989897346299,0.5101778386277593,2,0,0,0,0,0,0,3,3,0,0,1,0,1,3,1,-12.743024137540488,1.1806606325062603,0.2664447984116123,oscillation,"fs_disagree=3,phase_cnt=3,energy_flip=1"
320794,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.404570206970675,0.1562493496298519,1,1,0,0,0,1,0,3,3,0,0,0,0,1,2,1,-39.016971012664726,2.766903092749999,1.5862424602437386,ruleb_raw|oscillation,"fs_disagree=3,phase_cnt=3"
320795,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.1509659933490184,0.3207623062891896,0,0,0,0,0,1,0,2,2,0,0,1,0,0,3,1,20.01083102467237,2.4905206984203687,-0.2763823943296302,oscillation,"fs_disagree=2,phase_cnt=2,energy_flip=1"
